database,concurrency,duration_seconds,reads,writes,errors,total_operations,qps
Neo4j,1,30.09,348,144,0,492,16.35
Neo4j,10,30.1,3117,1312,0,4429,147.15
Neo4j,40,30.26,4251,1885,0,6136,202.76
